PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.19 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=2.96 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=295 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=301 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=305 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=319 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=324 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=331 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=323 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=327 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=329 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=408 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=404 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=476 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=483 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=545 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=556 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=685 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=702 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=605 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=519 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=525 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=516 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=525 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=522 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=441 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=441 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=450 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=514 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=529 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=631 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=688 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=630 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=724 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=710 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=750 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=813 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=811 ms
